order_id,customer_id,order_date
1,90,2019-01-28
2,65,2022-04-13
3,94,2025-08-04
4,7,2019-03-25
5,72,2022-02-15
6,7,2021-08-07
7,71,2022-03-03
8,15,2016-05-17
9,13,2018-01-10
10,79,2021-11-27
11,78,2016-04-11
12,29,2021-01-21
13,61,2019-01-10
14,91,2021-09-19
15,44,2016-08-25
16,69,2021-09-22
17,81,2020-10-09
18,97,2024-10-03
19,41,2020-03-06
20,55,2019-11-10
21,83,2015-02-23
22,8,2025-07-31
23,95,2022-01-26
24,34,2021-10-28
25,63,2021-01-18
26,33,2021-07-03
27,64,2018-01-31
28,2,2015-09-03
29,60,2016-09-28
30,49,2023-12-08
31,92,2015-06-23
32,87,2020-12-12
33,36,2021-07-07
34,65,2017-07-20
35,57,2023-06-28
36,84,2021-02-08
37,81,2025-07-07
38,72,2020-08-07
39,9,2016-02-02
40,36,2018-03-02
41,17,2022-03-14
42,61,2022-10-31
43,2,2023-01-15
44,61,2019-08-19
45,81,2024-01-06
46,76,2015-01-02
47,7,2020-03-22
48,60,2018-01-27
49,41,2019-10-12
50,47,2017-01-18
51,93,2021-10-09
52,2,2025-06-28
53,12,2019-09-14
54,38,2021-10-04
55,37,2019-01-07
56,67,2025-11-15
57,98,2023-01-12
58,99,2025-01-14
59,44,2023-06-16
60,79,2016-05-17
61,44,2020-11-30
62,51,2023-05-31
63,51,2017-11-27
64,76,2019-07-08
65,39,2024-08-09
66,27,2017-12-17
67,8,2019-07-18
68,83,2016-10-05
69,29,2016-11-20
70,30,2020-07-18
71,39,2023-01-19
72,66,2025-06-18
73,33,2021-01-15
74,4,2022-10-22
75,28,2019-01-21
76,46,2025-04-27
77,60,2022-05-26
78,55,2016-09-15
79,60,2018-08-14
80,27,2019-03-17
81,69,2023-10-28
82,49,2025-06-19
83,27,2015-11-22
84,54,2017-02-23
85,22,2017-07-13
86,76,2020-10-07
87,25,2019-11-23
88,38,2025-06-06
89,90,2017-08-21
90,93,2017-09-04
91,99,2025-03-27
92,44,2020-12-05
93,53,2025-06-09
94,69,2024-07-19
95,50,2023-03-22
96,6,2020-02-06
97,73,2024-12-01
98,93,2018-11-19
99,16,2017-05-06
100,76,2022-11-26
101,35,2021-08-14
102,69,2024-07-31
103,25,2016-02-08
104,94,2023-07-25
105,17,2022-04-01
106,52,2017-10-05
107,28,2015-05-23
108,49,2024-06-13
109,71,2017-11-14
110,62,2021-09-13
111,74,2020-08-02
112,47,2022-09-22
113,15,2025-09-01
114,50,2024-02-05
115,36,2015-04-14
116,87,2021-02-18
117,16,2024-05-11
118,100,2022-05-13
119,77,2023-06-18
120,61,2024-02-06
121,13,2016-03-25
122,39,2024-01-30
123,82,2018-12-26
124,49,2024-09-13
125,78,2018-07-09
126,42,2018-07-24
127,91,2023-10-24
128,91,2019-06-10
129,89,2017-08-30
130,59,2022-07-21
131,18,2024-01-12
132,47,2019-05-02
133,61,2025-08-26
134,90,2025-11-27
135,55,2023-12-05
136,13,2022-01-02
137,15,2019-02-07
138,47,2023-10-28
139,88,2022-08-09
140,94,2015-03-23
141,100,2024-11-26
142,71,2023-06-25
143,53,2024-07-22
144,31,2017-06-11
145,45,2020-06-01
146,50,2016-08-08
